"Data Source","World Development Indicators",

"Last Updated Date","2015-07-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014",
"Aruba","ABW","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1330167597.76536","1320670391.06145","1379888268.15642","1531843575.41899","1665363128.49162","1722798882.68156","1873452513.96648","1920262569.8324","1941094972.06704","2021301675.97765","2228279329.60894","2331005586.59218","2421474860.3352","2623726256.98324","2791960893.85475","2498932960.89385","2467703910.61453","2584463687.15084","","","",
"Andorra","AND","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","78617623.2677227","89406586.7318332","113414400.301709","150841574.678749","186557162.711527","220112878.428921","227284059.973644","253998002.93429","308020287.903008","411548360.706898","446377569.631956","388982992.793982","375914806.208138","327849981.664236","330073056.723539","346742877.531181","481996190.387663","611300146.945291","721425970.065389","795489459.053669","1028989389.73763","1106891024.78653","1209992649.56688","1007090915.05999","1017544675.49713","1178745314.32635","1224023415.65326","1180646068.29262","1211953953.56347","1239840269.71814","1401694155.6973","1484004617.40835","1717563532.6986","2373836214.46563","2916913449.18143","3248134606.77511","3536451645.56431","4010785102.05129","4001349339.57053","3649863492.52426","3346317328.52461","3427235708.64326","3146177740.6367","3249100674.84008","",
"Afghanistan","AFG","GDP (current US$)","NY.GDP.MKTP.CD","537777811.911111","548888894.577778","546666678.044444","751111190.755556","800000045.511111","1006666638.22222","1399999965.86667","1673333418.66667","1373333367.46667","1408888923.02222","1748886596.26667","1831108972.08889","1595555475.91111","1733333265.06667","2155555498.66667","2366666615.46667","2555555566.93333","2953333418.66667","3300000108.08889","3697940345.14177","3641723447.18433","3478787909.81818","","","","","","","","","","","","","","","","","","","","2461666314.78366","4128818042.25508","4583648921.64112","5285461999.33739","6275076016.47174","7057598406.61553","9843842455.48323","10190529882.4878","12486943505.7381","15936800636.2487","17930239399.8149","20536542736.7297","20310881086.9758","20841951231.998",
"Angola","AGO","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","6666666666.66667","6666666666.66667","6666666666.66667","6666666666.66667","10000000000","10000000000","11428571428.5714","5652173913.04348","5274509803.92157","4059431862.80927","5039543187.65308","7526446605.51712","7648377524.14337","6445041783.6488","6152922935.63102","9129594815.57661","8936079251.42093","12497346041.2013","14188949240.5222","19640862549.9734","28233699332.6199","41789493189.4426","60448887582.7354","84178084131.6213","75492416519.7527","82470894868.784","104115867663.458","115341613335.664","124163174732.961","131400635026.055",
"Albania","ALB","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","1924242453.00793","1965384586.2409","2173750012.5","2156624900","2126000000","2335124987.5","2101624962.5","1139166676.01094","709452572.338241","1228071037.84446","1985673026.02143","2424498953.26963","3013217853.03299","2196223713.70143","2727745453.16221","3434402453.29471","3686649386.83962","4091020249.1995","4449373455.28143","5652325081.83146","7464446950.18143","8376668351.83644","9132558096.86514","10701011524.0982","12881353507.8539","12044208085.864","11926957254.6288","12890866742.6533","12344529628.0617","12916669735.6928","13370191506.0031",
"Arab World","ARB","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","25659088715.414","28308267322.2492","31224239182.2223","36229613725.645","43135168196.5945","54780879976.0272","104523001271.412","115752821947.206","144057806919.486","165984443446.144","183528095316.993","247491798430.331","336716591796.399","346637032039.384","322991851931.265","302856681939.361","306914278560.951","302695207922.483","288017527565.432","311556549650.335","306162275047.585","320901065468.668","443858515396.945","436804233162.612","467833036058.44","473297855451.761","484259608494.561","520047653685.86","574466397605.556","609292359611.296","587651997143.416","640056991626.235","730788530702.385","719115673776.382","724855770515.128","818120533700.001","959479844488.166","1179758018598.88","1398639266926.12","1634851587703.88","2073941181338.23","1793835544429.04","2098003504175.46","2489392323960.93","2745514180744.88","2843482674286.46","2855840877624.21",
"United Arab Emirates","ARE","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","14720672878.1126","19213022836.8599","24871774846.005","23775831292.0886","31225462808.5874","43598747508.2538","49333424135.1131","46622718605.2847","42803323345.1376","41807954235.903","40603650231.5445","33943612094.7971","36384908744.2114","36275674203.2144","41464995913.9199","50701443748.2975","51552165622.4462","54239171887.769","55625170253.337","59305093979.842","65743666575.8649","73571233996.1863","78839008444.5655","75674338343.7533","84445475410.3601","104337375203.196","103311643384.932","109816204487.848","124346361452.59","147824374345.116","180617018379.85","222105922396.188","257916133424.098","315474615741.223","253547358746.804","286049336031.676","347454049215.014","372313955071.477","402340163738.042","401646583173.427",
"Argentina","ARG","GDP (current US$)","NY.GDP.MKTP.CD","","","24450604877.6081","18272123664.4715","25605249381.7597","28344705967.5816","28630474726.3365","24256667554.62","26436857248.0056","31256284544.7361","31584210364.5523","33293199094.6727","34733000536.4685","52544000117.2532","72436777341.9953","52438647921.8723","51169499890.7757","56781000100.9442","58082870156.265","69252328953.3803","76961923741.9469","78676842366.4213","84307486836.724","103979106777.911","79092001998.032","88416668900.2596","110934442762.694","111106191358.197","126206817196.091","76636898036.4712","141352368714.691","189719990237.65","228779383808.031","236753564542.77","257440000000","258031750000","272149750000","292859000000","298948250000","283523000000","284203750000","268696750000","102040287018.716","129597154100.492","183295704170.331","222910837452.42","263042487638.256","329761479745.779","406003733991.082","378506370535.235","462843782844.29","559849040366.128","607711914608.421","622057981847.401","540197457443.535",
"Armenia","ARM","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2256838858.42714","2068526521.90299","1272577521.7683","1201313196.45626","1315158670.47971","1468317350.02343","1596968913.19202","1639492424.38103","1893726437.35976","1845482181.48539","1911563665.39006","2118467913.37873","2376335048.39976","2807061008.69084","3576615240.41616","4900469515.07252","6384451606.1421","9206301700.39619","11662040713.8753","8647936747.98704","9260284937.79782","10142111334.4961","9957890702.00416","10431217084.2796","10881605059.4369",
"American Samoa","ASM","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","","","66144443.2762914","74855554.2335588","92240739.1117105","110066664.722819","124462960.764868","137951849.415534","153270367.663518","173511108.046794","201862959.397935","245896291.953611","286474069.01476","338696290.314704","373403697.109157","391570363.454988","410388881.64116","423762955.479039","456537028.974302","500088880.057001","494185176.45756","541074064.518361","579851841.611299","620037026.086788","651851840.339733","783837838.008776","773765171.519999","802529319.160154","839996355.5355","898356132.282607","997374111.111111","1135143592.59259","1289254333.33333","1347349851.85185","1206410370.37037","1135539037.03704","1129918370.37037","1204713111.11111","1200587518.51852","1269117037.03704",
"Australia","AUS","GDP (current US$)","NY.GDP.MKTP.CD","18574308433.1952","19651696718.5575","19886885429.4994","21500727965.0577","23758539590.0997","25930115354.463","27255011759.4355","30383021614.9625","32647552917.46","36612162616.1944","41252099899.2048","45127113898.5329","51936915887.8505","63700192184.4971","88789977892.4097","97098183804.4517","104832976175.47","110115852259.693","118238213399.504","134607520163.581","149679108635.098","176557529316.15","193684210526.316","176929340196.537","193232204310.813","180215540385.058","182032736429.771","189113287453.679","235787252619.325","299474798469.18","310944978838.015","325641629385.449","325313389217.873","312028527262.507","322874437910.758","368022720522.721","401409711684.37","435636249804.351","399325103438.92","388692192004.01","414987125541.669","378488247289.9","394250732524.069","466451368666.278","612871674491.393","693338595699.895","747205750224.618","853441155688.153","1055031652298.16","926283274398.423","1141267760188.15","1388066356091.96","1534425905762.66","1560372473125.21","1453770210672.04",
"Austria","AUT","GDP (current US$)","NY.GDP.MKTP.CD","6592693841.18495","7311749633.36229","7756110210.11966","8374175257.73075","9169983885.71185","9994070615.85997","10887682273.1014","11579431668.9165","12440625312.8685","13582798556.2404","15335961894.6811","17815453243.7493","22006488481.4572","29444374165.4368","35104534746.7609","39962708382.7131","42856485387.7426","51421613520.9391","61902776461.6697","73759135357.6943","81861199744.7352","70863141524.1058","71103573445.1884","71947295848.0159","67821539096.3483","69219606278.2655","98797566471.3835","123869286025.25","133018165607.935","132785127405.096","166062326031.708","173375486152.033","194608189331.33","189921093103.04","203044934345.26","240457622492.152","236720561476.475","212323486300.598","217683637172.076","216725229064.564","196421687857.011","196953646532.438","212970732166.384","260721444695.26","299857213806.804","314649048625.793","334309371471.584","386458937859.294","427611542405.156","397594331758.822","389679337748.344","429072838476.508","407575109732.57","428321937480.432","436343622435.169",
"Azerbaijan","AZE","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8858006035.91566","8792365810.5094","4991350457.5425","3973027396.65195","3313739673.54738","3052467522.36104","3176749593.11788","3962710163.11167","4446396217.63265","4581222442.45783","5272617196.04517","5707618246.56848","6236024951.20423","7275766111.24309","8680511918.49357","13245421880.834","20983019923.8863","33050343782.7759","48852482960.0779","44291490420.5026","52902703376.1056","65951627200.2026","68730906313.6456","73560484384.9586","75198010965.1919",
"Burundi","BDI","GDP (current US$)","NY.GDP.MKTP.CD","195999990","202999992","213500006","232749998","260750008","158994962.962963","165444571.428571","178297142.857143","183200000","190205714.285714","242732571.428571","252842285.714286","246804571.428571","304339839.552146","345263492.063492","420986666.666667","448412753.623188","547535555.555555","610225555.555556","782496666.666667","919726666.666667","969046666.666667","1013222222.22222","1082926304.46477","987143931.166987","1149979285.77347","1201725497.06578","1131466494.01101","1082403219.48787","1113924130.41149","1132101252.51817","1167398478.3459","1083037670.60484","938632612.026359","925030590.153683","1000428393.88528","869033856.317093","972896267.915425","893770806.077641","808077223.365746","870486065.883137","876794723.068586","825394484.359396","784654423.620476","915257323.3961","1117257313.8914","1273180655.19805","1356078300.12373","1611634286.34533","1739781535.88267","2026864414.47419","2355652063.59227","2472384864.14914","2714505576.34675","3093647293.47661",
