'id','sex','actual','ideal','diff'
0,'Male',215,190,25
1,'Female',155,135,20
2,'Male',195,155,40
3,'Female',145,130,15
4,'Female',110,100,10
5,'Male',155,170,-15
6,'Male',155,155,0
7,'Female',114,110,4
8,'Female',135,135,0
9,'Male',180,171,9
10,'Female',140,130,10
11,'Male',145,155,-10
12,'Male',220,200,20
13,'Female',132,120,12
14,'Male',208,190,18
15,'Female',135,130,5
16,'Male',180,165,15
17,'Male',155,145,10
18,'Female',152,135,17
19,'Female',126,120,6
20,'Male',155,170,-15
21,'Female',135,125,10
22,'Female',125,110,15
23,'Male',155,190,-35
24,'Male',160,150,10
25,'Female',130,105,25
26,'Male',150,150,0
27,'Male',185,185,0
28,'Male',200,190,10
29,'Male',180,200,-20
30,'Male',180,180,0
31,'Female',173,135,38
32,'Female',170,135,35
33,'Female',170,125,45
34,'Female',110,103,7
35,'Female',150,140,10
36,'Female',140,135,5
37,'Female',135,125,10
38,'Male',170,175,-5
39,'Male',170,170,0
40,'Female',116,116,0
41,'Female',160,155,5
42,'Female',122,120,2
43,'Female',140,125,15
44,'Female',122,122,0
45,'Female',155,135,20
46,'Female',120,115,5
47,'Female',135,130,5
48,'Male',195,185,10
49,'Male',180,170,10
50,'Male',185,175,10
51,'Female',180,140,40
52,'Female',155,126,29
53,'Female',140,130,10
54,'Female',105,103,2
55,'Female',110,100,10
56,'Female',100,95,5
57,'Male',170,185,-15
58,'Male',200,180,20
59,'Female',125,115,10
60,'Female',130,125,5
61,'Female',138,130,8
62,'Female',135,120,15
63,'Female',131,125,6
64,'Female',109,110,-1
65,'Female',118,110,8
66,'Male',160,170,-10
67,'Female',118,125,-7
68,'Female',120,110,10
69,'Male',185,185,0
70,'Female',120,115,5
71,'Female',136,125,11
72,'Female',180,165,15
73,'Female',150,140,10
74,'Male',142,145,-3
75,'Female',130,125,5
76,'Female',118,115,3
77,'Female',112,108,4
78,'Male',135,135,0
79,'Female',166,140,26
80,'Female',102,100,2
81,'Male',185,175,10
82,'Female',175,155,20
83,'Male',190,165,25
84,'Male',220,195,25
85,'Female',130,120,10
86,'Male',135,135,0
87,'Male',163,178,-15
88,'Male',160,160,0
89,'Male',155,150,5
90,'Female',110,100,10
91,'Female',130,130,0
92,'Female',103,105,-2
93,'Female',135,125,10
94,'Female',105,125,-20
95,'Female',125,120,5
96,'Female',110,100,10
97,'Female',155,150,5
98,'Male',160,175,-15
99,'Female',103,101,2
100,'Female',121,118,3
101,'Male',145,145,0
102,'Female',90,85,5
103,'Female',133,125,8
104,'Female',122,120,2
105,'Female',126,120,6
106,'Female',140,130,10
107,'Male',190,200,-10
108,'Female',140,125,15
109,'Female',110,100,10
110,'Male',117,123,-6
111,'Male',175,200,-25
112,'Male',175,170,5
113,'Male',230,225,5
114,'Female',140,130,10
115,'Female',125,112,13
116,'Female',113,113,0
117,'Male',115,130,-15
118,'Female',185,135,50
119,'Female',150,125,25
120,'Female',140,120,20
121,'Female',120,110,10
122,'Female',165,140,25
123,'Female',130,120,10
124,'Female',187,160,27
125,'Female',150,120,30
126,'Female',142,135,7
127,'Male',168,163,5
128,'Female',128,125,3
129,'Female',110,99,11
130,'Female',145,138,7
131,'Female',135,125,10
132,'Female',120,125,-5
133,'Male',140,150,-10
134,'Female',125,115,10
135,'Male',190,175,15
136,'Female',110,105,5
137,'Female',135,125,10
138,'Female',135,130,5
139,'Male',190,190,0
140,'Male',165,170,-5
141,'Female',140,130,10
142,'Female',145,130,15
143,'Male',175,180,-5
144,'Female',120,110,10
145,'Female',138,140,-2
146,'Female',125,115,10
147,'Female',130,120,10
148,'Male',208,190,18
149,'Female',120,120,0
150,'Female',160,145,15
151,'Female',115,100,15
152,'Female',145,130,15
153,'Male',235,200,35
154,'Male',175,170,5
155,'Female',135,125,10
156,'Female',130,120,10
157,'Male',190,190,0
158,'Female',120,110,10
159,'Female',145,125,20
160,'Female',130,120,10
161,'Female',111,111,0
162,'Male',195,200,-5
163,'Female',97,100,-3
164,'Female',160,140,20
165,'Female',139,135,4
166,'Female',115,115,0
167,'Male',187,185,2
168,'Female',130,125,5
169,'Male',203,203,0
170,'Male',215,210,5
171,'Male',150,150,0
172,'Male',220,200,20
173,'Female',175,120,55
174,'Male',170,170,0
175,'Female',140,100,40
176,'Female',130,120,10
177,'Male',180,180,0
178,'Female',125,120,5
179,'Male',158,150,8
180,'Female',130,130,0
181,'Female',118,118,0
